entry	requirements	kind	reference	approver	rationale	expiration	status
MX-011	EXT-stats	beyond-spec	deviations.md#12	sasank.vishnubhatla@gmail.com	`module::stats` is not in SPEC.md. It is a streaming accumulator (count, sum, mean, variance, stddev, min, max, range) with defined NaN/infinity behavior, oracle-checked fixtures on both backends and an exact-reference accuracy gate. No requirement IDs.	N/A -- permanent registered beyond-spec module	permanent
MX-012	EXT-stats-order	deferred	BUGS.md#20	sasank.vishnubhatla@gmail.com	Median and percentile are not provided: they need the whole sample, and collection element slots are integer-sized, so an f64 element cannot be stored faithfully. The checker now refuses to build such a collection (E0447, sv0c e3a2ec32) instead of miscompiling; typed element slots are the real fix.	typed f64 element slots land in sv0c/sv0vm (no fixed date)	open
MX-013	CONV-010	deferred	test/unit/conv_review.md	sasank.vishnubhatla@gmail.com	CONV-010 (buildable under both contract modes) is not tested: the native `--project` compile path exposes no `--contract-mode` flag, so only the default runtime mode is exercised. Recorded as deferred in the requirement matrix, not silently skipped.	the native `--project` path gains contract-mode support (no fixed date)	open
MX-014	COMPAT-002 TEST-005	advisory-gate	BUGS.md#2	sasank.vishnubhatla@gmail.com	The VM leg of the per-fixture check (`run_fixture_parity.py`) and of the unit/property runner (`run_unit_tests_vm.py`) is advisory: sv0vm gives a different answer on some CI hosts for identical bytecode, intermittently and not yet root-caused. The C leg and the whole-library COMPAT-001 exit-code parity still gate.	the sv0vm divergence is root-caused and `--strict-vm` can gate again (evidence is collected by the 6-hourly CI schedule)	open
MX-015	CPLX-007	informational-budget	docs/accuracy.md	sasank.vishnubhatla@gmail.com	`ln_complex` (14 ULP) and `pow_complex` (38329 ULP) exceed their informational budgets; both have recorded ceilings that CI enforces. `ln_complex` is a real, understood residual; `pow_complex`'s libm reference is itself inaccurate. SPEC.md pins no budget for either.	`ln_complex`'s residual is reduced or SPEC.md pins a budget (no fixed date)	open
MX-016	-	toolchain-gap	BUGS.md#9	sasank.vishnubhatla@gmail.com	Generic enums resolve but are not monomorphized (one shared instantiation). Worked around with concrete companion enums; see MX-002.	sv0 monomorphizes generic enums (no fixed date)	open
MX-017	-	toolchain-gap	BUGS.md#12	sasank.vishnubhatla@gmail.com	`match` used as a value mistypes its own result temp. Worked around by declaring a typed `let mut` local and using `match` as a statement whose arms assign into it.	fixed upstream (no fixed date)	open
MX-018	-	toolchain-gap	BUGS.md#15	sasank.vishnubhatla@gmail.com	An inline struct literal passed directly as a call argument can resolve its field names against the wrong struct. Worked around by binding the literal to a local first.	fixed upstream (no fixed date)	open
MX-019	-	toolchain-gap	BUGS.md#16	sasank.vishnubhatla@gmail.com	A bare `return a.x + a.y;` over two fields of one struct instance mistypes its temp. Worked around by copying fields into locals first.	fixed upstream (no fixed date)	open
MX-020	-	toolchain-gap	BUGS.md#17	sasank.vishnubhatla@gmail.com	`--project` discovery silently fails (exit 2, no diagnostics) when a top-level entry sorts before `lib`. Worked around in the test runners by naming entries `zzz_*` or `under_test`.	fixed upstream (no fixed date)	open
MX-021	-	toolchain-gap	BUGS.md#18	sasank.vishnubhatla@gmail.com	`let x: Struct = <plain variable of that struct type>;` mistypes the new local as int. Worked around by routing the copy through an identity call.	fixed upstream (no fixed date)	open
MX-022	-	toolchain-gap	BUGS.md#19	sasank.vishnubhatla@gmail.com	A struct-literal field initializer or a `requires`/`ensures` clause that is a binop over a struct-field access mistypes as int. Worked around by using locals, and by keeping such contracts off struct fields (so `stats` returns NaN instead of using `requires`).	fixed upstream (no fixed date)	open
MX-023	-	toolchain-gap	BUGS.md#20	sasank.vishnubhatla@gmail.com	`Vec<f64>` and `[f64; N]` silently truncated on the C backend and failed on the VM. The checker now rejects them (E0447) rather than compiling wrong code; `stats` is a streaming accumulator for this reason; see MX-012.	typed f64 element slots land in sv0c/sv0vm (a rejection diagnostic is in place; no fixed date for real support)	open
MX-025	-	deviation	deviations.md#2	sasank.vishnubhatla@gmail.com	The project is driven by `--project <dir>` paths from an sv0-toolchain checkout rather than an `sv0.toml` root, because deviation 2 records that no such project convention existed to root it a different way. It stays its own repository with its own history, tags and releases.	the toolchain defines an `sv0.toml` project root this library can adopt (no fixed date)	open
